folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d
23,4138564,23-110709,00,Topal And Sons Renovations Inc,,Issued,2023-02-15T20:12:42+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,247.0,2025-04-22T21:22:39+00:00,,
23,4138577,23-110722,00,Vision Built Construction Ltd,,Issued,2022-11-21T15:57:21+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,5,207.0,2025-04-22T21:22:39+00:00,,
23,4138617,23-110762,00,Rong Jia Xu (Rong Xu),,Issued,2022-12-06T17:42:25+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,3,207.0,2025-04-22T21:22:39+00:00,,
23,4138661,23-110806,00,Mohammed Waseem Woodally (Mohammed Woodally),First Response Plumbing & Heating Services,Issued,2022-11-20T07:02:05+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,207.0,2025-04-22T21:22:39+00:00,,
23,4138720,23-110865,00,Altitude Contracting & Design Ltd,Altitude Contracting & Design,Pending,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4138762,23-110907,00,Boka Homes Ltd,,Issued,2022-12-05T05:20:44+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4138789,23-110934,00,Ennea Projects Ltd,,Issued,2023-03-13T18:39:55+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,960.0,2025-04-22T21:22:39+00:00,,
23,4138822,23-110967,00,Westrich Homes Ltd,WestRich Homes,Issued,2022-12-28T03:14:41+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4138824,23-110969,00,Tangerine Traffic Control Ltd,,Issued,2022-12-29T11:20:00+00:00,2023-12-31,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4138851,23-110996,00,Cian L Stapleton (Cian Stapleton),C/Bridge Construction,Issued,2023-03-15T15:33:02+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,710.0,2025-04-22T21:22:39+00:00,,
23,4138853,23-110998,00,Bhatia Development Group Ltd,,Issued,2023-02-20T18:12:13+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,5,247.0,2025-04-22T21:22:39+00:00,,
23,4138858,23-111003,00,Workbench  Barcelona Design Ltd,Workbench Barcelona,Inactive,2023-10-26T01:05:55+00:00,2023-12-31,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,2,247.0,2025-04-22T21:22:39+00:00,,
23,4138862,23-111007,00,Tsuga Projects Ltd,,Gone Out of Business,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4138865,23-111010,00,TCC Projects Inc,,Pending,,,Contractor *Historic*,Building,1700,Unit,777,DUNSMUIR ST,Vancouver,BC,CA,V7Y 1K4,,1,,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.116383207944, 49.2843253122431], 'type': 'Point'}, 'properties': {}}","{'lon': -123.116383207944, 'lat': 49.2843253122431}"
23,4138874,23-111019,00,Joshua P Noga (Joshua Noga),JPN Services,Issued,2023-03-12T23:44:16+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,497.0,2025-04-22T21:22:39+00:00,,
23,4138888,23-111033,00,Ho D Quan (Ho Quan),,Issued,2023-02-21T16:52:23+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,247.0,2025-04-22T21:22:39+00:00,,
23,4138896,23-111041,00,Sunny Group Construction Ltd,,Issued,2022-12-09T19:24:03+00:00,2023-12-31,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,1,443.0,2025-04-22T21:22:39+00:00,,
23,4138922,23-111067,00,Restruction Building Services Ltd,,Issued,2022-12-13T21:34:26+00:00,2023-12-31,Contractor *Historic*,Building,204,Unit,1909,W BROADWAY,Vancouver,BC,CA,V6J 1Z3,,2,457.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.148377656937, 49.2640322607634], 'type': 'Point'}, 'properties': {}}","{'lon': -123.148377656937, 'lat': 49.2640322607634}"
23,4138936,23-111081,00,Westside Gutters Ltd,Westside Gutters,Issued,2022-12-05T19:33:51+00:00,2023-12-31,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,4,207.0,2025-04-22T21:22:39+00:00,,
23,4138982,23-111127,00,653306 BC Ltd,,Issued,2022-12-30T21:09:36+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4138999,23-111144,00,Hazmat Masters Environmental Ltd,,Gone Out of Business,,,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4139002,23-111147,00,Echo Projects Ltd,,Issued,2023-02-21T21:09:24+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,247.0,2025-04-22T21:22:39+00:00,,
23,4139003,23-111148,00,Davenport Developments Ltd,,Issued,2023-08-09T22:51:33+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,483.0,2025-04-22T21:22:39+00:00,,
23,4139014,23-111159,00,Andrew I George (Andrew George),Craftsman Projects,Gone Out of Business,,,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,,2025-04-22T21:22:39+00:00,,
23,4139037,23-111182,00,Barmani Construction Ltd,,Issued,2023-01-17T03:53:41+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,2,247.0,2025-04-22T21:22:39+00:00,,
23,4139051,23-111196,00,Finest Construction & Renovation Ltd,,Pending,,,Contractor *Historic*,Building,,,8417,MAIN ST,Vancouver,BC,CA,V5X 3M3,,000,,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.103638368358, 49.2082475257084], 'type': 'Point'}, 'properties': {}}","{'lon': -123.103638368358, 'lat': 49.2082475257084}"
23,4139056,23-111201,00,(Eric Hernandez-Corvera),Vancouver Costa Renovations,Gone Out of Business,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,000,,2025-04-22T21:22:39+00:00,,
23,4139069,23-111214,00,(Jiri Hornburg),Hornburg Handyman Services,Issued,2022-11-22T15:49:18+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,207.0,2025-04-22T21:22:39+00:00,,
23,4139083,23-111228,00,Dylon Alec Nofziger (Dylon Nofziger),Nofziger Construction,Issued,2022-11-23T22:02:07+00:00,2023-12-31,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4139150,23-111295,00,Terris & Company General Contractors,,Issued,2022-12-30T07:24:25+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,12,457.0,2025-04-22T21:22:39+00:00,,
23,4139186,23-111331,00,(Michael To),Emmax Construction,Issued,2022-12-12T06:43:09+00:00,2023-12-31,Contractor *Historic*,Framing,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4139189,23-111334,00,N 5 Builds Ltd,,Issued,2023-02-21T18:03:34+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,523.0,2025-04-22T21:22:39+00:00,,
23,4139207,23-111352,00,(Christian Geremia),Villar Boys Fencers,Gone Out of Business,,,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,1,,2025-04-22T21:22:39+00:00,,
23,4139209,23-111354,00,3 Dimension Construction Group Inc,,Issued,2022-12-07T19:12:35+00:00,2023-12-31,Contractor *Historic*,Building,,,1662,W 75TH AV,Vancouver,BC,CA,V6P 6G2,,3,457.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.146664924482, 49.2056001142086], 'type': 'Point'}, 'properties': {}}","{'lon': -123.146664924482, 'lat': 49.2056001142086}"
23,4139219,23-111364,00,Jeremy J Laker (Jeremy Laker),Jeremy Laker Construction (JLC),Issued,2023-03-22T01:44:48+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,668.0,2025-04-22T21:22:39+00:00,,
23,4139230,23-111375,00,1298705 BC LTD,Rueyan Construction,Issued,2022-12-31T02:10:27+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4139233,23-111378,00,Vintage Development Corp,,Issued,2023-02-23T00:21:32+00:00,2023-12-31,Contractor *Historic*,Building,202,Unit,609,STAMP'S LANDING,Vancouver,BC,CA,V5Z 3Z1,,2,247.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.118801527465, 49.2687377734216], 'type': 'Point'}, 'properties': {}}","{'lon': -123.118801527465, 'lat': 49.2687377734216}"
23,4139243,23-111388,00,Glen CS Construction Ltd,Glen Homes,Inactive,2022-12-29T02:24:57+00:00,2023-12-31,Contractor *Historic*,Building,720,Unit,999,W BROADWAY,Vancouver,BC,CA,V5Z 1K5,,1,207.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.126104236733, 49.2638663729166], 'type': 'Point'}, 'properties': {}}","{'lon': -123.126104236733, 'lat': 49.2638663729166}"
23,4139266,23-111411,00,(Michael Byrne),RPH Painting and Renovation Services,Inactive,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,0,,2025-04-22T21:22:39+00:00,,
23,4139294,23-111439,00,Blue Stone Construction Ltd,,Pending,,,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4139312,23-111457,00,Tian Shu Liu  (Tian Liu),Fortune 88 International Trading,Issued,2022-12-01T04:02:29+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4139313,23-111458,00,Sophi Projects Ltd,,Issued,2023-09-28T22:36:40+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,497.0,2025-04-22T21:22:39+00:00,,
23,4139325,23-111470,00,Maplewest Homes Ltd,,Issued,2023-01-02T18:05:52+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,457.0,2025-04-22T21:22:39+00:00,,
23,4139342,23-111487,00,Laneside Homes Ltd,,Issued,2022-12-10T18:52:48+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4139374,23-111519,00,Young R Oh (Young Oh),UPN Homes,Gone Out of Business,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,,2025-04-22T21:22:39+00:00,,
23,4139414,23-111559,00,GDL Carpentry Services Ltd,,Inactive,2022-12-28T16:26:48+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,50,457.0,2025-04-22T21:22:39+00:00,,
23,4139427,23-111572,00,Bon Constructors Inc,,Gone Out of Business,,,Contractor *Historic*,Building,,,750,POWELL ST,Vancouver,BC,CA,V6A 1H6,,1,,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.088239992352, 49.2827081073557], 'type': 'Point'}, 'properties': {}}","{'lon': -123.088239992352, 'lat': 49.2827081073557}"
23,4139428,23-111573,00,Sandwood Construction Inc,,Issued,2023-02-25T16:54:06+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,0,497.0,2025-04-22T21:22:39+00:00,,
23,4139443,23-111588,00,ITC Projects Inc,,Issued,2022-11-24T17:09:54+00:00,2023-12-31,Contractor *Historic*,Building,800,Unit,564,BEATTY ST,Vancouver,BC,CA,V6B 2L3,,25,457.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.109689283192, 49.2800327234036], 'type': 'Point'}, 'properties': {}}","{'lon': -123.109689283192, 'lat': 49.2800327234036}"
23,4139446,23-111591,00,Arconn Contracting Ltd,,Issued,2022-12-06T22:15:19+00:00,2023-12-31,Contractor *Historic*,Other,,,2382,KINGSWAY,Vancouver,BC,CA,V5R 5G9,,2,457.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.05683380935, 49.240903077359], 'type': 'Point'}, 'properties': {}}","{'lon': -123.05683380935, 'lat': 49.240903077359}"
23,4139476,23-111621,00,Gouvea Lopes Design & Renovations Ltd,AGL Interior Design,Issued,2023-02-12T23:48:58+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,247.0,2025-04-22T21:22:39+00:00,,
23,4139501,23-111646,00,Kudos Property Inspections Inc,,Issued,2022-12-15T18:26:22+00:00,2023-12-31,Contractor *Historic*,Other,,,,,Vancouver,BC,CA,,,0,207.0,2025-04-22T21:22:39+00:00,,
23,4139517,23-111662,00,(Paul Nolan),Springvan Carpentry and Construction,Issued,2023-01-13T20:27:13+00:00,2023-12-31,Contractor *Historic*,Framing,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4139537,23-111682,00,(Jordon Dilts),Premier Sundecks,Issued,2022-12-14T15:48:03+00:00,2023-12-31,Contractor *Historic*,Other,2103,Unit,689,ABBOTT ST,Vancouver,BC,CA,V6B 0J2,,1,457.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.108545611807, 49.2793873017589], 'type': 'Point'}, 'properties': {}}","{'lon': -123.108545611807, 'lat': 49.2793873017589}"
23,4139566,23-111711,00,Cresca Construction Ltd,,Issued,2023-01-14T00:36:06+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,2,457.0,2025-04-22T21:22:39+00:00,,
23,4139603,23-111748,00,(Aidan Watson),Coast Craft,Issued,2022-11-22T04:22:07+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,207.0,2025-04-22T21:22:39+00:00,,
23,4139659,23-111804,00,Evin Construction Group BC Corp,,Inactive,2023-02-17T23:05:05+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,900,Unit,609,W HASTINGS ST,Vancouver,BC,CA,V6B 4W4,,4,247.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.113027499418, 49.2851507931574], 'type': 'Point'}, 'properties': {}}","{'lon': -123.113027499418, 'lat': 49.2851507931574}"
23,4139682,23-111827,00,Point Grey Innovation Ltd,,Issued,2023-05-03T20:49:46+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4139715,23-111860,00,Brilliance Construction & Development Ltd,,Issued,2022-12-21T07:45:28+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,207.0,2025-04-22T21:22:39+00:00,,
23,4139723,23-111868,00,Fleck Contracting Ltd,,Inactive,2022-11-22T18:12:21+00:00,2023-12-31,Contractor - Special Trades *Historic*,Demolition/Excavation,,,9013,SHAUGHNESSY ST,Vancouver,BC,CA,V6P 6R9,,4,457.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.129385376252, 49.2029486279761], 'type': 'Point'}, 'properties': {}}","{'lon': -123.129385376252, 'lat': 49.2029486279761}"
23,4140017,23-112162,00,Father & Sons Demolition & Disposal Ltd,,Issued,2022-12-23T02:04:40+00:00,2023-12-31,Contractor - Special Trades *Historic*,Demolition/Excavation,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4140036,23-112181,00,Trong Van Tran (Trong Tran),Andys Hardwood Floor Services,Gone Out of Business,,,Contractor - Special Trades *Historic*,Flooring,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4140094,23-112239,00,Simplistic Solutions Building Maintenance & Services Ltd,,Issued,2023-10-26T19:58:02+00:00,2023-12-31,Contractor - Special Trades *Historic*,Other,,,,,Vancouver,BC,CA,,,1,710.0,2025-04-22T21:22:39+00:00,,
23,4140097,23-112242,00,H1peraktiv Sign and Print Inc,Somartech,Inactive,2022-12-31T20:09:57+00:00,2023-12-31,Contractor - Special Trades *Historic*,Signs,,,2126,KINGSWAY,Vancouver,BC,CA,V5N 2T5,,2,207.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.063475299004, 49.2440026612982], 'type': 'Point'}, 'properties': {}}","{'lon': -123.063475299004, 'lat': 49.2440026612982}"
