folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d
24,4519647,24-139526,10,T42 Ventures Inc,,Issued,2023-12-26T20:51:35+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Kitsilano,0.0,,2025-11-01T09:31:04+00:00,,
24,4519649,24-139528,11,Table Architecture Collective Limited,,Issued,2024-03-15T15:31:51+00:00,2024-12-31,Architectural and Engineering Services,,100,Unit,1,W 7TH AV,Vancouver,BC,CA,V5Y 1L4,Mount Pleasant,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.105057978015, 49.2649357366539], 'type': 'Point'}, 'properties': {}}","{'lon': -123.105057978015, 'lat': 49.2649357366539}"
24,4519650,24-139529,10,SELC Language College Ltd,SELC Language College,Issued,2024-01-29T22:32:10+00:00,2024-12-31,Business Support Services,,490,Unit,1140,W PENDER ST,Vancouver,BC,CA,V6E 2R9,Downtown,10.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.122081850721, 49.2876129603256], 'type': 'Point'}, 'properties': {}}","{'lon': -123.122081850721, 'lat': 49.2876129603256}"
24,4519654,24-139533,10,Vitality Products Inc,,Issued,2023-12-04T19:31:06+00:00,2024-12-31,Business Support Services,,201,Unit,25,E 6TH AV,Vancouver,BC,CA,V5T 1J3,Mount Pleasant,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.104149048172, 49.2658103265839], 'type': 'Point'}, 'properties': {}}","{'lon': -123.104149048172, 'lat': 49.2658103265839}"
24,4519657,24-139536,10,Wesley John McMillan (Wesley McMillan),Allen & McMillan LLP,Issued,2023-12-17T01:04:37+00:00,2024-12-31,Legal Services,,1625,Unit,1185,W GEORGIA ST,Vancouver,BC,CA,V6E 4E6,Downtown,27.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.124651413125, 49.2871584076905], 'type': 'Point'}, 'properties': {}}","{'lon': -123.124651413125, 'lat': 49.2871584076905}"
24,4519667,24-139549,10,Apollo Silver Corp,,Issued,2023-11-20T21:22:45+00:00,2024-12-31,Mining Services,,710,Unit,1030,W GEORGIA ST,Vancouver,BC,CA,V6E 2Y3,West End,7.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.122008869142, 49.2845352944803], 'type': 'Point'}, 'properties': {}}","{'lon': -123.122008869142, 'lat': 49.2845352944803}"
24,4519671,24-139554,11,0532171 BC Ltd,Turnabout,Issued,2024-01-17T20:55:26+00:00,2024-12-31,Business Support Services,,207,Unit,3195,GRANVILLE ST,Vancouver,BC,CA,V6H 3K2,Fairview,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.139226325057, 49.2571924740432], 'type': 'Point'}, 'properties': {}}","{'lon': -123.139226325057, 'lat': 49.2571924740432}"
24,4519675,24-139558,10,Federated Agencies Limited,The Co-operators,Issued,2024-01-30T22:55:03+00:00,2024-12-31,Insurance Services,,,,2230,W 4TH AV,Vancouver,BC,CA,V6K 1N8,Kitsilano,7.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.155984733149, 49.2679151231454], 'type': 'Point'}, 'properties': {}}","{'lon': -123.155984733149, 'lat': 49.2679151231454}"
24,4519676,24-139559,10,HSBC Bank Canada Contact Centre Service & Sales,HSBC Bank Canada,Issued,2023-12-13T22:04:04+00:00,2024-12-31,Business Support Services,,130,Unit,2925,VIRTUAL WAY,Vancouver,BC,CA,V5M 4X5,Renfrew-Collingwood,44.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.042424835637, 49.2606031412959], 'type': 'Point'}, 'properties': {}}","{'lon': -123.042424835637, 'lat': 49.2606031412959}"
24,4519677,24-139560,10,Michelle F. Yung (Michelle Yung),Bennett Jones LLP,Issued,2023-12-05T22:06:08+00:00,2024-12-31,Legal Services,,2500,Unit,666,BURRARD ST,Vancouver,BC,CA,V6C 2X8,Downtown,130.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.119358394194, 49.2850670237956], 'type': 'Point'}, 'properties': {}}","{'lon': -123.119358394194, 'lat': 49.2850670237956}"
24,4519679,24-139562,11,Vialto Partners LP,,Issued,2024-04-19T17:49:11+00:00,2024-12-31,Legal Services,,1180,Unit,1188,W GEORGIA ST,Vancouver,BC,CA,V6E 4A2,West End,10.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.125263375086, 49.2866402537813], 'type': 'Point'}, 'properties': {}}","{'lon': -123.125263375086, 'lat': 49.2866402537813}"
24,4519681,24-139564,10,Song Xue Law Corporation,Harper Grey LLP,Issued,2023-11-23T19:12:26+00:00,2024-12-31,Legal Services,,3200,Unit,650,W GEORGIA ST,Vancouver,BC,CA,V6B 4N8,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.117897724969, 49.2818316993831], 'type': 'Point'}, 'properties': {}}","{'lon': -123.117897724969, 'lat': 49.2818316993831}"
24,4519688,24-139573,10,(Stephanie Wetterwald),Odyssey Digital,Issued,2024-03-01T22:06:49+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Kitsilano,1.0,,2025-11-01T09:31:04+00:00,,
24,4519692,24-139577,10,Whistler Vacation Homes Ltd,,Issued,2023-12-06T20:46:19+00:00,2024-12-31,Real Estate Services,,,,,,Vancouver,BC,CA,,Mount Pleasant,4.0,,2025-11-01T09:31:04+00:00,,
24,4519693,24-139578,10,MFIC Immigration Inc,,Issued,2023-12-29T04:29:44+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Mount Pleasant,0.0,,2025-11-01T09:31:04+00:00,,
24,4519698,24-139586,10,1133865 BC Ltd,Pelegrin Gemmological Services,Issued,2023-11-18T20:47:19+00:00,2024-12-31,Insurance Services,,1035,Unit,470,GRANVILLE ST,Vancouver,BC,CA,V6C 1V5,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.114441013341, 49.2847316480809], 'type': 'Point'}, 'properties': {}}","{'lon': -123.114441013341, 'lat': 49.2847316480809}"
24,4519701,24-139593,10,Bright Bluesky Ventures ULC,T Marie Stationery,Issued,2023-12-15T23:24:49+00:00,2024-12-31,Business Support Services,,,,,,Vancouver,BC,CA,,South Cambie,0.0,,2025-11-01T09:31:04+00:00,,
24,4519706,24-139600,10,Veto Studio Inc,,Issued,2023-11-20T19:05:38+00:00,2024-12-31,Marketing Public Relations Advertising and Event Promotion Services,,140,Unit,2034,W 11TH AV,Vancouver,BC,CA,V6J 2C9,Kitsilano,7.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.151887827231, 49.2616487006271], 'type': 'Point'}, 'properties': {}}","{'lon': -123.151887827231, 'lat': 49.2616487006271}"
24,4519708,24-139602,10,Platform LifeSciences Inc,,Issued,2023-12-19T20:52:28+00:00,2024-12-31,Consulting and Management Services,,506,Unit,1505,W 2ND AV,Vancouver,BC,CA,V6H 3Y4,Fairview,15.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.137922044615, 49.26985613347], 'type': 'Point'}, 'properties': {}}","{'lon': -123.137922044615, 'lat': 49.26985613347}"
24,4519710,24-139604,10,Switchmen Technology Management Ltd,,Issued,2023-11-19T01:44:22+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Mount Pleasant,1.0,,2025-11-01T09:31:04+00:00,,
24,4519716,24-139612,10,Daniel D Verhagen  (Daniel  Verhagen ),DANIELVERHAGEN MARKETING AND DEVELOPMENT,Issued,2023-12-25T22:08:32+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Kitsilano,1.0,,2025-11-01T09:31:04+00:00,,
24,4519717,24-139613,10,Nancy L Hogan (Nancy Hogan),Hogan HR Consulting,Issued,2024-02-29T23:37:34+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Fairview,1.0,,2025-11-01T09:31:04+00:00,,
24,4519718,24-139614,10,Creative B'stro,,Issued,2023-12-13T14:39:39+00:00,2024-12-31,Marketing Public Relations Advertising and Event Promotion Services,,303,Unit,55,WATER ST,Vancouver,BC,CA,V6B 1A1,Downtown,14.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.105433984455, 49.2839824189482], 'type': 'Point'}, 'properties': {}}","{'lon': -123.105433984455, 'lat': 49.2839824189482}"
24,4519722,24-139620,10,Munro Thompson Communications Inc,Munro/Thompson,Issued,2023-11-20T17:27:54+00:00,2024-12-31,Marketing Public Relations Advertising and Event Promotion Services,,106,Unit,1529,W 6TH AV,Vancouver,BC,CA,V6J 1R1,Fairview,5.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.13957747276, 49.2665263171929], 'type': 'Point'}, 'properties': {}}","{'lon': -123.13957747276, 'lat': 49.2665263171929}"
24,4519727,24-139628,11,PETER DENT PROFESSIONAL CORPORATION,,Issued,2023-12-13T21:52:31+00:00,2024-12-31,Consulting and Management Services,,2300,Unit,410,W GEORGIA ST,Vancouver,BC,CA,V6B 0S7,Downtown,1400.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.115881581318, 49.2805115734956], 'type': 'Point'}, 'properties': {}}","{'lon': -123.115881581318, 'lat': 49.2805115734956}"
24,4519731,24-139633,10,Greenlight Immigration Consulting Inc,,Issued,2023-11-21T23:41:19+00:00,2024-12-31,Consulting and Management Services,,309G,Unit,896,CAMBIE ST,Vancouver,BC,CA,V6B 2P6,Downtown,0.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.116083523591, 49.2770930304835], 'type': 'Point'}, 'properties': {}}","{'lon': -123.116083523591, 'lat': 49.2770930304835}"
24,4519736,24-139638,10,Stay in Vancouver Executive Properties Ltd,,Issued,2024-03-01T00:38:52+00:00,2024-12-31,Real Estate Services,,,,,,Vancouver,BC,CA,,Downtown,2.0,,2025-11-01T09:31:04+00:00,,
24,4519738,24-139640,10,Global Pacific Education Group Inc,Global School,Gone Out of Business,,,Consulting and Management Services,,223,Unit,757,W HASTINGS ST,Vancouver,BC,CA,V6C 1A1,Downtown,3.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.113872114765, 49.2859679398864], 'type': 'Point'}, 'properties': {}}","{'lon': -123.113872114765, 'lat': 49.2859679398864}"
24,4519743,24-139647,10,Nevgold Corp,,Issued,2023-12-20T18:54:07+00:00,2024-12-31,Mining Services,,250,Unit,200,BURRARD ST,Vancouver,BC,CA,V6C 3L6,Downtown,3.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.115170326863, 49.2876781463009], 'type': 'Point'}, 'properties': {}}","{'lon': -123.115170326863, 'lat': 49.2876781463009}"
24,4519747,24-139651,10,Drinkwater Engineering Ltd,,Issued,2023-11-21T18:40:22+00:00,2024-12-31,Architectural and Engineering Services,,,,,,Vancouver,BC,CA,,Kensington-Cedar Cottage,1.0,,2025-11-01T09:31:04+00:00,,
24,4519750,24-139654,10,(Judy Maxwell),Historical Chinatown Tours,Issued,2024-01-22T17:52:35+00:00,2024-12-31,Tourism Services,,,,,,Vancouver,BC,CA,,Downtown,1.0,,2025-11-01T09:31:04+00:00,,
24,4519751,24-139655,10,Emily L Hanson (Emily Hanson),Emily Hanson Design Works,Issued,2024-02-14T18:18:11+00:00,2024-12-31,Design Services,,,,,,Vancouver,BC,CA,,Mount Pleasant,1.0,,2025-11-01T09:31:04+00:00,,
24,4519753,24-139657,10,Qval and Qcare Specialists & Resources Inc,,Issued,2023-12-28T01:54:29+00:00,2024-12-31,Consulting and Management Services,,810,Unit,789,W PENDER ST,Vancouver,BC,CA,V6C 1H2,Downtown,2.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.115148173257, 49.2851802454623], 'type': 'Point'}, 'properties': {}}","{'lon': -123.115148173257, 'lat': 49.2851802454623}"
24,4519754,24-139658,10,Noram Electrolysis Systems Inc,,Inactive,2023-12-05T17:38:08+00:00,2024-12-31,Architectural and Engineering Services,,1700,Unit,200,GRANVILLE ST,Vancouver,BC,CA,V6C 1S4,Downtown,32.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.112189281814, 49.2866321702408], 'type': 'Point'}, 'properties': {}}","{'lon': -123.112189281814, 'lat': 49.2866321702408}"
24,4519755,24-139659,10,Shameless Buns Inc,,Issued,2023-12-21T20:37:52+00:00,2024-12-31,Street Vendor,,,,5772,FRASER ST,Vancouver,BC,CA,V5W 2Z5,Sunset,10.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.090179357158, 49.2321264350288], 'type': 'Point'}, 'properties': {}}","{'lon': -123.090179357158, 'lat': 49.2321264350288}"
24,4519757,24-139663,10,(Sen Yu),Sen Yu Notary Public,Issued,2023-12-26T18:57:34+00:00,2024-12-31,Legal Services,,720,Unit,999,W BROADWAY,Vancouver,BC,CA,V5Z 1K5,Fairview,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.126104236733, 49.2638663729166], 'type': 'Point'}, 'properties': {}}","{'lon': -123.126104236733, 'lat': 49.2638663729166}"
24,4519758,24-139664,10,Nova Pacific Care Inc,,Issued,2023-12-18T23:09:50+00:00,2024-12-31,Business Support Services,,216,Unit,1628,W 1ST AV,Vancouver,BC,CA,V6J 1G1,Fairview,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.141374166201, 49.2703365504893], 'type': 'Point'}, 'properties': {}}","{'lon': -123.141374166201, 'lat': 49.2703365504893}"
24,4519763,24-139669,10,Anthem 1698 W Georgia Developments LP,,Issued,2023-12-18T18:36:22+00:00,2024-12-31,Real Estate Services,,100,Unit,1445,W GEORGIA ST,Vancouver,BC,CA,V6G 2T3,Downtown,10.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.128756641419, 49.2896439308797], 'type': 'Point'}, 'properties': {}}","{'lon': -123.128756641419, 'lat': 49.2896439308797}"
24,4519764,24-139670,10,Ryan R Lee Law Corporation,,Issued,2023-11-20T18:02:16+00:00,2024-12-31,Legal Services,,1200,Unit,1075,W GEORGIA ST,Vancouver,BC,CA,V6E 3C9,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.122189505874, 49.2858641494082], 'type': 'Point'}, 'properties': {}}","{'lon': -123.122189505874, 'lat': 49.2858641494082}"
24,4519775,24-139682,10,Anastase Maragos Law Corporation,,Issued,2023-11-20T18:03:12+00:00,2024-12-31,Legal Services,,1200,Unit,1075,W GEORGIA ST,Vancouver,BC,CA,V6E 3C9,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.122189505874, 49.2858641494082], 'type': 'Point'}, 'properties': {}}","{'lon': -123.122189505874, 'lat': 49.2858641494082}"
24,4519776,24-139683,10,(Lin Lin),Elite Global Sports,Issued,2023-11-23T11:30:06+00:00,2024-12-31,Real Estate Services,,,,,,Vancouver,BC,CA,,Out of Town,2.0,,2025-11-01T09:31:04+00:00,,
24,4519777,24-139684,10,J & D Gourmet Cafes Ltd,,Issued,2023-11-28T23:39:31+00:00,2024-12-31,Business Support Services,,,,1685,W 5TH AV,Vancouver,BC,CA,V6J 1N5,Fairview,6.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.142648009943, 49.2673747996032], 'type': 'Point'}, 'properties': {}}","{'lon': -123.142648009943, 'lat': 49.2673747996032}"
24,4519779,24-139686,10,Emilie N Lahaie (Emilie Lahaie),Cassels Brock & Blackwell LLP,Issued,2023-11-21T20:19:00+00:00,2024-12-31,Legal Services,,2200,Unit,885,W GEORGIA ST,Vancouver,BC,CA,V6C 3E8,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.119650025722, 49.2836841369494], 'type': 'Point'}, 'properties': {}}","{'lon': -123.119650025722, 'lat': 49.2836841369494}"
24,4519780,24-139687,11,Randy Bassi Law Corporation,Cassels Brock & Blackwell LLP,Issued,2024-04-16T17:49:25+00:00,2024-12-31,Legal Services,,2200,Unit,885,W GEORGIA ST,Vancouver,BC,CA,V6C 3E8,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.119650025722, 49.2836841369494], 'type': 'Point'}, 'properties': {}}","{'lon': -123.119650025722, 'lat': 49.2836841369494}"
24,4519783,24-139690,10,YDL Immigration Consulting Ltd,,Issued,2023-11-21T20:08:31+00:00,2024-12-31,Consulting and Management Services,,2270,Unit,1055,W GEORGIA ST,Vancouver,BC,CA,V6E 4A6,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.121463646921, 49.2852447964792], 'type': 'Point'}, 'properties': {}}","{'lon': -123.121463646921, 'lat': 49.2852447964792}"
24,4519786,24-139694,10,Junebee Pacific Developments Ltd,,Issued,2024-09-17T17:09:24+00:00,2024-12-31,General Contractor,,,,,,Vancouver,BC,CA,,Dunbar-Southlands,1.0,292.0,2025-11-01T09:31:04+00:00,,
24,4519793,24-139702,10,Canadian Business and Medical Technology Inc,CBMT Inc,Issued,2023-12-12T23:47:29+00:00,2024-12-31,Consulting and Management Services,,940,Unit,1040,W GEORGIA ST,Vancouver,BC,CA,V6E 4H1,West End,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.122490354875, 49.2848518559734], 'type': 'Point'}, 'properties': {}}","{'lon': -123.122490354875, 'lat': 49.2848518559734}"
24,4519796,24-139707,10,Drinkfill Beverages Ltd,,Issued,2024-01-25T23:01:23+00:00,2024-12-31,Architectural and Engineering Services,,620,Unit,1385,W 8TH AV,Vancouver,BC,CA,V6H 3V9,Fairview,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.135583198646, 49.2648651525099], 'type': 'Point'}, 'properties': {}}","{'lon': -123.135583198646, 'lat': 49.2648651525099}"
24,4519800,24-139711,10,Evelyn Y Lee (Evelyn Lee),Vine Ventures,Issued,2023-11-20T20:01:58+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Downtown,1.0,,2025-11-01T09:31:04+00:00,,
24,4519811,24-139727,10,Yulu Public Relations Inc,Yulu Public Relations,Issued,2023-11-20T17:30:44+00:00,2024-12-31,Consulting and Management Services,,212,Unit,55,WATER ST,Vancouver,BC,CA,V6B 1A1,Downtown,18.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.105433984455, 49.2839824189482], 'type': 'Point'}, 'properties': {}}","{'lon': -123.105433984455, 'lat': 49.2839824189482}"
24,4519812,24-139728,10,A D M D Law Corporation,Cassels Brock & Blackwell LLP,Issued,2023-11-24T19:32:09+00:00,2024-12-31,Legal Services,,2200,Unit,885,W GEORGIA ST,Vancouver,BC,CA,V6C 3ES,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.119650025722, 49.2836841369494], 'type': 'Point'}, 'properties': {}}","{'lon': -123.119650025722, 'lat': 49.2836841369494}"
24,4519817,24-139733,10,Ryan J Gee (Ryan Gee),Topimize Digital,Issued,2023-12-19T15:40:06+00:00,2024-12-31,Marketing Public Relations Advertising and Event Promotion Services,,,,,,Vancouver,BC,CA,,Downtown,1.0,,2025-11-01T09:31:04+00:00,,
24,4519820,24-139737,10,Melanie Teetaert Professional Law Corporation,Bennett Jones LLP,Issued,2023-12-12T22:53:52+00:00,2024-12-31,Legal Services,,2500,Unit,666,BURRARD ST,Vancouver,BC,CA,V6C 2X8,Downtown,130.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.119358394194, 49.2850670237956], 'type': 'Point'}, 'properties': {}}","{'lon': -123.119358394194, 'lat': 49.2850670237956}"
24,4519828,24-139745,10,Mama Milk Corporation,,Issued,2024-01-11T05:02:01+00:00,2024-12-31,Consulting and Management Services,,,,3569,COMMERCIAL ST,Vancouver,BC,CA,V5N 4E8,Kensington-Cedar Cottage,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.068414356722, 49.2528744534118], 'type': 'Point'}, 'properties': {}}","{'lon': -123.068414356722, 'lat': 49.2528744534118}"
24,4519832,24-139749,10,Piilo Group Canada Ltd,Piilo,Issued,2023-12-14T17:51:08+00:00,2024-12-31,Consulting and Management Services,,1300,Unit,1500,W GEORGIA ST,Vancouver,BC,CA,V6G 2Z6,West End,5.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.130300416539, 49.2899484858578], 'type': 'Point'}, 'properties': {}}","{'lon': -123.130300416539, 'lat': 49.2899484858578}"
24,4519834,24-139751,11,Tri City Capital Corp,Tri City Capital Corporation,Issued,2023-12-08T23:13:24+00:00,2024-12-31,Consulting and Management Services,,350,Unit,1201,W PENDER ST,Vancouver,BC,CA,V6E 2V2,Downtown,5.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.123309683031, 49.2886577857153], 'type': 'Point'}, 'properties': {}}","{'lon': -123.123309683031, 'lat': 49.2886577857153}"
24,4519837,24-139754,11,The Vivre Beauty Inc,,Issued,2024-07-11T23:50:58+00:00,2024-12-31,Business Support Services,,715,Unit,602,W HASTINGS ST,Vancouver,BC,CA,V6B 1P2,Downtown,1.0,30.0,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.113430920192, 49.284625628455], 'type': 'Point'}, 'properties': {}}","{'lon': -123.113430920192, 'lat': 49.284625628455}"
24,4519840,24-139758,10,(Lynnfield  Hoffmann),Lynnfield Hoffmann Design,Issued,2024-03-02T02:51:39+00:00,2024-12-31,Design Services,,,,,,Vancouver,BC,CA,,Kitsilano,1.0,,2025-11-01T09:31:04+00:00,,
24,4519844,24-139763,10,Asnate Marianna Fomina (Asnate Fomina),The Mind Mastering,Issued,2024-02-01T04:15:20+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,West End,1.0,,2025-11-01T09:31:04+00:00,,
24,4519849,24-139770,10,Sun Real Estate Funds Management Ltd,,Issued,2023-11-21T20:12:43+00:00,2024-12-31,General Contractor,,130,Unit,555,W 12TH AV,Vancouver,BC,CA,V5Z 3X7,Fairview,7.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.116286093249, 49.2608633217122], 'type': 'Point'}, 'properties': {}}","{'lon': -123.116286093249, 'lat': 49.2608633217122}"
